productCode,productName,productLine,productScale,productVendor,productDescription,quantityInStock,buyPrice,MSRP
PRD00242,Product 242,Motorcycles 886,1:50,Vendor C,"High-quality product 242, designed for performance and durability.",479,229.08,287.64
PRD00243,Product 243,Ships 254,1:18,Vendor A,"High-quality product 243, designed for performance and durability.",702,42.92,61.53
PRD00244,Product 244,Trains 4,1:24,Vendor B,"High-quality product 244, designed for performance and durability.",812,957.51,1264.22
PRD00245,Product 245,Planes 864,1:50,Vendor C,"High-quality product 245, designed for performance and durability.",67,42.54,61.12
PRD00246,Product 246,Planes 148,1:18,Vendor A,"High-quality product 246, designed for performance and durability.",111,475.49,703.94
PRD00247,Product 247,Classic Cars 191,1:24,Vendor B,"High-quality product 247, designed for performance and durability.",155,76.94,103.75
PRD00248,Product 248,Trains 704,1:50,Vendor C,"High-quality product 248, designed for performance and durability.",241,342.27,498.59
PRD00249,Product 249,Ships 458,1:18,Vendor A,"High-quality product 249, designed for performance and durability.",118,460.47,578.16
PRD00250,Product 250,Classic Cars 716,1:24,Vendor B,"High-quality product 250, designed for performance and durability.",781,12.49,17.86
PRD00251,Product 251,Ships 245,1:50,Vendor C,"High-quality product 251, designed for performance and durability.",994,985.09,1409.02
PRD00252,Product 252,Ships 129,1:18,Vendor A,"High-quality product 252, designed for performance and durability.",918,513.77,700.79
PRD00253,Product 253,Planes 50,1:24,Vendor B,"High-quality product 253, designed for performance and durability.",509,344.40,439.22
PRD00254,Product 254,Classic Cars 615,1:50,Vendor C,"High-quality product 254, designed for performance and durability.",766,856.22,1037.35
PRD00255,Product 255,Ships 591,1:18,Vendor A,"High-quality product 255, designed for performance and durability.",164,172.13,247.80
PRD00256,Product 256,Classic Cars 816,1:24,Vendor B,"High-quality product 256, designed for performance and durability.",657,139.22,201.28
PRD00257,Product 257,Motorcycles 929,1:50,Vendor C,"High-quality product 257, designed for performance and durability.",687,877.48,1269.56
PRD00258,Product 258,Planes 627,1:18,Vendor A,"High-quality product 258, designed for performance and durability.",875,33.81,45.48
PRD00259,Product 259,Ships 888,1:24,Vendor B,"High-quality product 259, designed for performance and durability.",862,282.32,369.51
PRD00260,Product 260,Trains 537,1:50,Vendor C,"High-quality product 260, designed for performance and durability.",160,421.03,509.43
PRD00261,Product 261,Classic Cars 934,1:18,Vendor A,"High-quality product 261, designed for performance and durability.",767,170.04,236.60
PRD00262,Product 262,Trains 567,1:24,Vendor B,"High-quality product 262, designed for performance and durability.",672,39.02,56.68
PRD00263,Product 263,Ships 522,1:50,Vendor C,"High-quality product 263, designed for performance and durability.",580,175.71,258.84
PRD00264,Product 264,Classic Cars 261,1:18,Vendor A,"High-quality product 264, designed for performance and durability.",317,534.05,711.52
PRD00265,Product 265,Classic Cars 766,1:24,Vendor B,"High-quality product 265, designed for performance and durability.",812,625.35,755.68
PRD00266,Product 266,Planes 268,1:50,Vendor C,"High-quality product 266, designed for performance and durability.",862,896.02,1288.38
PRD00267,Product 267,Classic Cars 595,1:18,Vendor A,"High-quality product 267, designed for performance and durability.",438,692.48,895.91
PRD00268,Product 268,Ships 645,1:24,Vendor B,"High-quality product 268, designed for performance and durability.",91,972.80,1396.08
PRD00269,Product 269,Ships 520,1:50,Vendor C,"High-quality product 269, designed for performance and durability.",520,663.01,801.78
PRD00270,Product 270,Motorcycles 967,1:18,Vendor A,"High-quality product 270, designed for performance and durability.",428,884.14,1317.70
PRD00271,Product 271,Motorcycles 269,1:24,Vendor B,"High-quality product 271, designed for performance and durability.",166,101.58,130.60
PRD00272,Product 272,Classic Cars 432,1:50,Vendor C,"High-quality product 272, designed for performance and durability.",918,108.53,135.71
PRD00273,Product 273,Ships 962,1:18,Vendor A,"High-quality product 273, designed for performance and durability.",493,880.10,1249.51
PRD00274,Product 274,Planes 426,1:24,Vendor B,"High-quality product 274, designed for performance and durability.",69,90.99,131.56
PRD00275,Product 275,Ships 925,1:50,Vendor C,"High-quality product 275, designed for performance and durability.",399,166.11,203.77
PRD00276,Product 276,Trains 584,1:18,Vendor A,"High-quality product 276, designed for performance and durability.",912,740.71,1063.48
PRD00277,Product 277,Classic Cars 668,1:24,Vendor B,"High-quality product 277, designed for performance and durability.",779,144.17,208.14
PRD00278,Product 278,Trains 420,1:50,Vendor C,"High-quality product 278, designed for performance and durability.",358,328.16,489.88
PRD00279,Product 279,Trains 294,1:18,Vendor A,"High-quality product 279, designed for performance and durability.",154,498.46,743.36
PRD00280,Product 280,Ships 591,1:24,Vendor B,"High-quality product 280, designed for performance and durability.",93,302.14,394.06
PRD00281,Product 281,Trains 425,1:50,Vendor C,"High-quality product 281, designed for performance and durability.",252,31.75,41.00
PRD00282,Product 282,Classic Cars 318,1:18,Vendor A,"High-quality product 282, designed for performance and durability.",77,301.88,437.30
PRD00283,Product 283,Ships 696,1:24,Vendor B,"High-quality product 283, designed for performance and durability.",233,674.26,877.28
PRD00284,Product 284,Planes 672,1:50,Vendor C,"High-quality product 284, designed for performance and durability.",231,622.80,900.80
PRD00285,Product 285,Motorcycles 798,1:18,Vendor A,"High-quality product 285, designed for performance and durability.",547,461.84,680.21
PRD00286,Product 286,Classic Cars 582,1:24,Vendor B,"High-quality product 286, designed for performance and durability.",496,556.72,703.37
PRD00287,Product 287,Ships 925,1:50,Vendor C,"High-quality product 287, designed for performance and durability.",857,907.40,1129.96
PRD00288,Product 288,Ships 632,1:18,Vendor A,"High-quality product 288, designed for performance and durability.",134,952.76,1254.96
PRD00289,Product 289,Motorcycles 750,1:24,Vendor B,"High-quality product 289, designed for performance and durability.",639,770.86,1153.17
PRD00290,Product 290,Planes 47,1:50,Vendor C,"High-quality product 290, designed for performance and durability.",464,342.44,459.49
PRD00291,Product 291,Motorcycles 101,1:18,Vendor A,"High-quality product 291, designed for performance and durability.",589,875.20,1151.63
PRD00292,Product 292,Ships 790,1:24,Vendor B,"High-quality product 292, designed for performance and durability.",131,534.98,717.60
PRD00293,Product 293,Planes 944,1:50,Vendor C,"High-quality product 293, designed for performance and durability.",529,684.91,1015.64
PRD00294,Product 294,Motorcycles 349,1:18,Vendor A,"High-quality product 294, designed for performance and durability.",52,829.08,1081.73
PRD00295,Product 295,Classic Cars 164,1:24,Vendor B,"High-quality product 295, designed for performance and durability.",338,691.51,973.79
PRD00296,Product 296,Planes 637,1:50,Vendor C,"High-quality product 296, designed for performance and durability.",897,134.16,173.29
PRD00297,Product 297,Classic Cars 63,1:18,Vendor A,"High-quality product 297, designed for performance and durability.",167,892.58,1266.80
PRD00298,Product 298,Ships 264,1:24,Vendor B,"High-quality product 298, designed for performance and durability.",428,69.72,85.20
PRD00299,Product 299,Trains 806,1:50,Vendor C,"High-quality product 299, designed for performance and durability.",741,320.85,420.13
PRD00300,Product 300,Ships 215,1:18,Vendor A,"High-quality product 300, designed for performance and durability.",94,810.84,976.85
PRD00301,Product 301,Ships 649,1:24,Vendor B,"High-quality product 301, designed for performance and durability.",202,917.94,1250.88
PRD00302,Product 302,Planes 576,1:50,Vendor C,"High-quality product 302, designed for performance and durability.",55,81.97,107.44
PRD00303,Product 303,Planes 47,1:18,Vendor A,"High-quality product 303, designed for performance and durability.",549,527.88,672.32
PRD00304,Product 304,Ships 538,1:24,Vendor B,"High-quality product 304, designed for performance and durability.",716,793.91,1163.97
PRD00305,Product 305,Trains 704,1:50,Vendor C,"High-quality product 305, designed for performance and durability.",364,82.22,108.10
PRD00306,Product 306,Ships 596,1:18,Vendor A,"High-quality product 306, designed for performance and durability.",910,401.76,543.21
PRD00307,Product 307,Trains 425,1:24,Vendor B,"High-quality product 307, designed for performance and durability.",517,30.43,37.22
PRD00308,Product 308,Ships 65,1:50,Vendor C,"High-quality product 308, designed for performance and durability.",883,601.46,784.91
PRD00309,Product 309,Ships 763,1:18,Vendor A,"High-quality product 309, designed for performance and durability.",636,28.78,35.74
PRD00310,Product 310,Trains 601,1:24,Vendor B,"High-quality product 310, designed for performance and durability.",443,807.76,1032.83
PRD00311,Product 311,Motorcycles 631,1:50,Vendor C,"High-quality product 311, designed for performance and durability.",444,248.23,367.94
PRD00312,Product 312,Planes 870,1:18,Vendor A,"High-quality product 312, designed for performance and durability.",494,718.46,978.23
PRD00313,Product 313,Ships 61,1:24,Vendor B,"High-quality product 313, designed for performance and durability.",569,656.04,913.59
PRD00314,Product 314,Ships 86,1:50,Vendor C,"High-quality product 314, designed for performance and durability.",747,54.10,77.52
PRD00315,Product 315,Ships 131,1:18,Vendor A,"High-quality product 315, designed for performance and durability.",224,642.78,784.20
PRD00316,Product 316,Planes 365,1:24,Vendor B,"High-quality product 316, designed for performance and durability.",640,423.88,626.54
PRD00317,Product 317,Planes 115,1:50,Vendor C,"High-quality product 317, designed for performance and durability.",717,370.46,523.72
PRD00318,Product 318,Motorcycles 189,1:18,Vendor A,"High-quality product 318, designed for performance and durability.",317,774.34,981.64
PRD00319,Product 319,Trains 289,1:24,Vendor B,"High-quality product 319, designed for performance and durability.",578,907.09,1249.00
PRD00320,Product 320,Motorcycles 548,1:50,Vendor C,"High-quality product 320, designed for performance and durability.",626,453.69,662.98
PRD00321,Product 321,Motorcycles 548,1:18,Vendor A,"High-quality product 321, designed for performance and durability.",240,970.17,1231.68
PRD00322,Product 322,Motorcycles 978,1:24,Vendor B,"High-quality product 322, designed for performance and durability.",419,479.27,601.88
PRD00323,Product 323,Classic Cars 58,1:50,Vendor C,"High-quality product 323, designed for performance and durability.",406,508.01,652.91
PRD00324,Product 324,Trains 990,1:18,Vendor A,"High-quality product 324, designed for performance and durability.",869,440.75,643.93
PRD00325,Product 325,Motorcycles 772,1:24,Vendor B,"High-quality product 325, designed for performance and durability.",289,372.56,499.91
PRD00326,Product 326,Classic Cars 883,1:50,Vendor C,"High-quality product 326, designed for performance and durability.",687,979.81,1384.97
PRD00327,Product 327,Motorcycles 372,1:18,Vendor A,"High-quality product 327, designed for performance and durability.",856,542.52,672.75
PRD00328,Product 328,Trains 782,1:24,Vendor B,"High-quality product 328, designed for performance and durability.",541,829.99,1216.74
PRD00329,Product 329,Planes 242,1:50,Vendor C,"High-quality product 329, designed for performance and durability.",126,152.42,227.47
PRD00330,Product 330,Planes 115,1:18,Vendor A,"High-quality product 330, designed for performance and durability.",854,654.35,834.49
PRD00331,Product 331,Trains 420,1:24,Vendor B,"High-quality product 331, designed for performance and durability.",990,694.80,842.69
PRD00332,Product 332,Ships 270,1:50,Vendor C,"High-quality product 332, designed for performance and durability.",250,263.24,348.26
PRD00333,Product 333,Planes 244,1:18,Vendor A,"High-quality product 333, designed for performance and durability.",899,268.51,390.36
PRD00334,Product 334,Ships 254,1:24,Vendor B,"High-quality product 334, designed for performance and durability.",765,247.58,337.84
PRD00335,Product 335,Ships 999,1:50,Vendor C,"High-quality product 335, designed for performance and durability.",407,220.78,308.44
PRD00336,Product 336,Ships 792,1:18,Vendor A,"High-quality product 336, designed for performance and durability.",169,512.18,649.71
PRD00337,Product 337,Planes 892,1:24,Vendor B,"High-quality product 337, designed for performance and durability.",309,426.75,536.51
PRD00338,Product 338,Classic Cars 518,1:50,Vendor C,"High-quality product 338, designed for performance and durability.",725,578.74,852.33
PRD00339,Product 339,Motorcycles 136,1:18,Vendor A,"High-quality product 339, designed for performance and durability.",794,855.06,1059.72
PRD00340,Product 340,Trains 584,1:24,Vendor B,"High-quality product 340, designed for performance and durability.",739,207.99,294.78
PRD00341,Product 341,Classic Cars 412,1:50,Vendor C,"High-quality product 341, designed for performance and durability.",916,659.83,845.01
PRD00342,Product 342,Ships 997,1:18,Vendor A,"High-quality product 342, designed for performance and durability.",745,281.41,403.67
PRD00343,Product 343,Planes 599,1:24,Vendor B,"High-quality product 343, designed for performance and durability.",429,388.16,576.96
PRD00344,Product 344,Planes 891,1:50,Vendor C,"High-quality product 344, designed for performance and durability.",97,582.57,867.20
PRD00345,Product 345,Trains 414,1:18,Vendor A,"High-quality product 345, designed for performance and durability.",336,911.38,1144.12
PRD00346,Product 346,Ships 458,1:24,Vendor B,"High-quality product 346, designed for performance and durability.",84,68.67,91.93
PRD00347,Product 347,Ships 554,1:50,Vendor C,"High-quality product 347, designed for performance and durability.",381,534.01,780.89
PRD00348,Product 348,Motorcycles 685,1:18,Vendor A,"High-quality product 348, designed for performance and durability.",977,842.84,1248.86
PRD00349,Product 349,Planes 255,1:24,Vendor B,"High-quality product 349, designed for performance and durability.",716,652.10,799.48
PRD00350,Product 350,Ships 37,1:50,Vendor C,"High-quality product 350, designed for performance and durability.",291,166.05,207.06
PRD00351,Product 351,Motorcycles 878,1:18,Vendor A,"High-quality product 351, designed for performance and durability.",184,87.86,109.50
PRD00352,Product 352,Ships 196,1:24,Vendor B,"High-quality product 352, designed for performance and durability.",564,402.47,603.30
PRD00353,Product 353,Classic Cars 352,1:50,Vendor C,"High-quality product 353, designed for performance and durability.",450,315.32,443.77
PRD00354,Product 354,Ships 462,1:18,Vendor A,"High-quality product 354, designed for performance and durability.",991,518.17,749.44
PRD00355,Product 355,Classic Cars 144,1:24,Vendor B,"High-quality product 355, designed for performance and durability.",776,598.86,766.14
PRD00356,Product 356,Trains 54,1:50,Vendor C,"High-quality product 356, designed for performance and durability.",452,35.75,47.23
PRD00357,Product 357,Planes 870,1:18,Vendor A,"High-quality product 357, designed for performance and durability.",743,717.63,871.38
PRD00358,Product 358,Classic Cars 934,1:24,Vendor B,"High-quality product 358, designed for performance and durability.",371,721.78,991.55
PRD00359,Product 359,Ships 839,1:50,Vendor C,"High-quality product 359, designed for performance and durability.",671,420.30,605.22
PRD00360,Product 360,Planes 247,1:18,Vendor A,"High-quality product 360, designed for performance and durability.",732,177.10,250.99
PRD00361,Product 361,Classic Cars 262,1:24,Vendor B,"High-quality product 361, designed for performance and durability.",731,754.50,987.46
PRD00362,Product 362,Planes 38,1:50,Vendor C,"High-quality product 362, designed for performance and durability.",729,228.10,282.89
PRD00363,Product 363,Motorcycles 284,1:18,Vendor A,"High-quality product 363, designed for performance and durability.",629,613.34,736.57
PRD00364,Product 364,Classic Cars 641,1:24,Vendor B,"High-quality product 364, designed for performance and durability.",223,265.95,375.59
PRD00365,Product 365,Motorcycles 904,1:50,Vendor C,"High-quality product 365, designed for performance and durability.",570,68.35,101.86
PRD00366,Product 366,Ships 105,1:18,Vendor A,"High-quality product 366, designed for performance and durability.",80,74.31,96.35
PRD00367,Product 367,Motorcycles 852,1:24,Vendor B,"High-quality product 367, designed for performance and durability.",409,302.24,396.25
PRD00368,Product 368,Planes 862,1:50,Vendor C,"High-quality product 368, designed for performance and durability.",103,763.86,1087.85
PRD00369,Product 369,Ships 270,1:18,Vendor A,"High-quality product 369, designed for performance and durability.",289,477.08,605.77
PRD00370,Product 370,Planes 150,1:24,Vendor B,"High-quality product 370, designed for performance and durability.",412,618.15,759.56
PRD00371,Product 371,Motorcycles 859,1:50,Vendor C,"High-quality product 371, designed for performance and durability.",186,91.05,109.71
PRD00372,Product 372,Planes 497,1:18,Vendor A,"High-quality product 372, designed for performance and durability.",469,30.04,40.63
PRD00373,Product 373,Ships 435,1:24,Vendor B,"High-quality product 373, designed for performance and durability.",517,972.33,1260.43
PRD00374,Product 374,Classic Cars 42,1:50,Vendor C,"High-quality product 374, designed for performance and durability.",162,220.94,303.95
PRD00375,Product 375,Trains 622,1:18,Vendor A,"High-quality product 375, designed for performance and durability.",181,401.95,521.42
PRD00376,Product 376,Ships 143,1:24,Vendor B,"High-quality product 376, designed for performance and durability.",929,247.69,325.97
PRD00377,Product 377,Classic Cars 698,1:50,Vendor C,"High-quality product 377, designed for performance and durability.",255,75.95,113.86
PRD00378,Product 378,Planes 8,1:18,Vendor A,"High-quality product 378, designed for performance and durability.",541,936.41,1209.32
PRD00379,Product 379,Classic Cars 475,1:24,Vendor B,"High-quality product 379, designed for performance and durability.",390,293.75,428.62
PRD00380,Product 380,Classic Cars 207,1:50,Vendor C,"High-quality product 380, designed for performance and durability.",299,824.23,1002.64
PRD00381,Product 381,Planes 672,1:18,Vendor A,"High-quality product 381, designed for performance and durability.",788,756.00,911.48
PRD00382,Product 382,Trains 565,1:24,Vendor B,"High-quality product 382, designed for performance and durability.",949,229.99,337.58
PRD00383,Product 383,Ships 260,1:50,Vendor C,"High-quality product 383, designed for performance and durability.",352,459.06,668.44
PRD00384,Product 384,Planes 701,1:18,Vendor A,"High-quality product 384, designed for performance and durability.",179,889.88,1122.93
PRD00385,Product 385,Planes 271,1:24,Vendor B,"High-quality product 385, designed for performance and durability.",619,30.07,39.14
PRD00386,Product 386,Ships 358,1:50,Vendor C,"High-quality product 386, designed for performance and durability.",994,172.06,212.73
PRD00387,Product 387,Ships 736,1:18,Vendor A,"High-quality product 387, designed for performance and durability.",883,413.08,581.65
PRD00388,Product 388,Planes 502,1:24,Vendor B,"High-quality product 388, designed for performance and durability.",342,646.12,926.39
PRD00389,Product 389,Classic Cars 817,1:50,Vendor C,"High-quality product 389, designed for performance and durability.",392,188.74,274.34
PRD00390,Product 390,Trains 330,1:18,Vendor A,"High-quality product 390, designed for performance and durability.",650,13.39,19.84
PRD00391,Product 391,Classic Cars 454,1:24,Vendor B,"High-quality product 391, designed for performance and durability.",72,518.51,685.86
PRD00392,Product 392,Trains 831,1:50,Vendor C,"High-quality product 392, designed for performance and durability.",632,215.62,288.33
PRD00393,Product 393,Ships 509,1:18,Vendor A,"High-quality product 393, designed for performance and durability.",328,749.34,1053.31
PRD00394,Product 394,Planes 109,1:24,Vendor B,"High-quality product 394, designed for performance and durability.",498,838.01,1066.42
PRD00395,Product 395,Ships 257,1:50,Vendor C,"High-quality product 395, designed for performance and durability.",758,407.57,593.48
PRD00396,Product 396,Motorcycles 223,1:18,Vendor A,"High-quality product 396, designed for performance and durability.",606,781.23,1059.62
PRD00397,Product 397,Trains 414,1:24,Vendor B,"High-quality product 397, designed for performance and durability.",557,298.50,447.62
PRD00398,Product 398,Classic Cars 518,1:50,Vendor C,"High-quality product 398, designed for performance and durability.",121,182.12,253.05
PRD00399,Product 399,Classic Cars 225,1:18,Vendor A,"High-quality product 399, designed for performance and durability.",616,453.21,630.77
PRD00400,Product 400,Motorcycles 496,1:24,Vendor B,"High-quality product 400, designed for performance and durability.",827,267.87,323.03
PRD00401,Product 401,Motorcycles 55,1:50,Vendor C,"High-quality product 401, designed for performance and durability.",846,579.98,766.03
PRD00402,Product 402,Motorcycles 221,1:18,Vendor A,"High-quality product 402, designed for performance and durability.",864,425.69,591.68
PRD00403,Product 403,Ships 591,1:24,Vendor B,"High-quality product 403, designed for performance and durability.",807,199.95,255.26
PRD00404,Product 404,Planes 490,1:50,Vendor C,"High-quality product 404, designed for performance and durability.",153,545.45,761.18
PRD00405,Product 405,Motorcycles 29,1:18,Vendor A,"High-quality product 405, designed for performance and durability.",914,974.49,1257.41
PRD00406,Product 406,Motorcycles 750,1:24,Vendor B,"High-quality product 406, designed for performance and durability.",983,542.82,729.87
PRD00407,Product 407,Motorcycles 324,1:50,Vendor C,"High-quality product 407, designed for performance and durability.",591,727.44,1064.95
PRD00408,Product 408,Motorcycles 67,1:18,Vendor A,"High-quality product 408, designed for performance and durability.",583,781.11,1090.62
PRD00409,Product 409,Classic Cars 510,1:24,Vendor B,"High-quality product 409, designed for performance and durability.",929,858.68,1277.65
PRD00410,Product 410,Planes 422,1:50,Vendor C,"High-quality product 410, designed for performance and durability.",812,94.89,113.97
PRD00411,Product 411,Planes 239,1:18,Vendor A,"High-quality product 411, designed for performance and durability.",638,545.41,799.53
PRD00412,Product 412,Trains 137,1:24,Vendor B,"High-quality product 412, designed for performance and durability.",861,626.81,848.61
PRD00413,Product 413,Motorcycles 101,1:50,Vendor C,"High-quality product 413, designed for performance and durability.",230,646.97,876.81
PRD00414,Product 414,Ships 86,1:18,Vendor A,"High-quality product 414, designed for performance and durability.",277,593.92,859.56
PRD00415,Product 415,Ships 326,1:24,Vendor B,"High-quality product 415, designed for performance and durability.",409,696.45,903.66
PRD00416,Product 416,Ships 654,1:50,Vendor C,"High-quality product 416, designed for performance and durability.",139,638.04,920.18
PRD00417,Product 417,Classic Cars 545,1:18,Vendor A,"High-quality product 417, designed for performance and durability.",904,431.20,556.21
PRD00418,Product 418,Ships 918,1:24,Vendor B,"High-quality product 418, designed for performance and durability.",308,407.72,537.10
PRD00419,Product 419,Trains 84,1:50,Vendor C,"High-quality product 419, designed for performance and durability.",862,583.91,767.19
PRD00420,Product 420,Trains 534,1:18,Vendor A,"High-quality product 420, designed for performance and durability.",149,461.93,555.83
PRD00421,Product 421,Classic Cars 563,1:24,Vendor B,"High-quality product 421, designed for performance and durability.",355,651.80,845.59
PRD00422,Product 422,Ships 918,1:50,Vendor C,"High-quality product 422, designed for performance and durability.",726,792.55,1003.60
PRD00423,Product 423,Classic Cars 525,1:18,Vendor A,"High-quality product 423, designed for performance and durability.",915,442.00,629.39
PRD00424,Product 424,Planes 555,1:24,Vendor B,"High-quality product 424, designed for performance and durability.",930,278.84,398.75
PRD00425,Product 425,Ships 571,1:50,Vendor C,"High-quality product 425, designed for performance and durability.",474,112.36,137.04
PRD00426,Product 426,Ships 989,1:18,Vendor A,"High-quality product 426, designed for performance and durability.",470,805.73,1047.43
PRD00427,Product 427,Motorcycles 639,1:24,Vendor B,"High-quality product 427, designed for performance and durability.",302,443.19,554.40
PRD00428,Product 428,Trains 533,1:50,Vendor C,"High-quality product 428, designed for performance and durability.",88,212.39,268.98
PRD00429,Product 429,Ships 453,1:18,Vendor A,"High-quality product 429, designed for performance and durability.",945,58.14,86.49
PRD00430,Product 430,Ships 907,1:24,Vendor B,"High-quality product 430, designed for performance and durability.",94,839.24,1203.90
PRD00431,Product 431,Classic Cars 564,1:50,Vendor C,"High-quality product 431, designed for performance and durability.",693,751.51,1057.03
PRD00432,Product 432,Motorcycles 46,1:18,Vendor A,"High-quality product 432, designed for performance and durability.",579,505.37,744.15
PRD00433,Product 433,Ships 531,1:24,Vendor B,"High-quality product 433, designed for performance and durability.",226,831.75,1167.43
PRD00434,Product 434,Motorcycles 233,1:50,Vendor C,"High-quality product 434, designed for performance and durability.",202,11.31,13.96
PRD00435,Product 435,Trains 177,1:18,Vendor A,"High-quality product 435, designed for performance and durability.",989,912.03,1303.72
PRD00436,Product 436,Trains 267,1:24,Vendor B,"High-quality product 436, designed for performance and durability.",337,272.03,339.35
PRD00437,Product 437,Trains 447,1:50,Vendor C,"High-quality product 437, designed for performance and durability.",627,906.15,1354.20
PRD00438,Product 438,Motorcycles 221,1:18,Vendor A,"High-quality product 438, designed for performance and durability.",886,618.69,910.25
PRD00439,Product 439,Motorcycles 360,1:24,Vendor B,"High-quality product 439, designed for performance and durability.",642,47.24,59.66
PRD00440,Product 440,Motorcycles 493,1:50,Vendor C,"High-quality product 440, designed for performance and durability.",628,739.11,923.54
PRD00441,Product 441,Ships 350,1:18,Vendor A,"High-quality product 441, designed for performance and durability.",365,254.82,356.64
PRD00442,Product 442,Trains 915,1:24,Vendor B,"High-quality product 442, designed for performance and durability.",889,69.90,94.43
PRD00443,Product 443,Ships 822,1:50,Vendor C,"High-quality product 443, designed for performance and durability.",542,897.20,1171.45
PRD00444,Product 444,Ships 531,1:18,Vendor A,"High-quality product 444, designed for performance and durability.",402,698.89,862.20
PRD00445,Product 445,Ships 740,1:24,Vendor B,"High-quality product 445, designed for performance and durability.",633,583.15,858.72
PRD00446,Product 446,Trains 3,1:50,Vendor C,"High-quality product 446, designed for performance and durability.",532,89.51,127.05
PRD00447,Product 447,Classic Cars 144,1:18,Vendor A,"High-quality product 447, designed for performance and durability.",210,753.55,1103.09
PRD00448,Product 448,Planes 117,1:24,Vendor B,"High-quality product 448, designed for performance and durability.",765,413.80,592.31
PRD00449,Product 449,Classic Cars 182,1:50,Vendor C,"High-quality product 449, designed for performance and durability.",931,131.85,171.49
PRD00450,Product 450,Ships 743,1:18,Vendor A,"High-quality product 450, designed for performance and durability.",308,241.05,315.82
PRD00451,Product 451,Motorcycles 10,1:24,Vendor B,"High-quality product 451, designed for performance and durability.",996,531.06,662.20
PRD00452,Product 452,Classic Cars 850,1:50,Vendor C,"High-quality product 452, designed for performance and durability.",119,785.36,1141.85
PRD00453,Product 453,Classic Cars 625,1:18,Vendor A,"High-quality product 453, designed for performance and durability.",990,709.28,970.23
PRD00454,Product 454,Trains 872,1:24,Vendor B,"High-quality product 454, designed for performance and durability.",311,638.51,785.03
PRD00455,Product 455,Motorcycles 581,1:50,Vendor C,"High-quality product 455, designed for performance and durability.",81,933.81,1326.87
PRD00456,Product 456,Ships 18,1:18,Vendor A,"High-quality product 456, designed for performance and durability.",469,325.65,412.68
PRD00457,Product 457,Planes 930,1:24,Vendor B,"High-quality product 457, designed for performance and durability.",483,876.64,1137.39
PRD00458,Product 458,Ships 822,1:50,Vendor C,"High-quality product 458, designed for performance and durability.",456,866.69,1264.96
PRD00459,Product 459,Motorcycles 772,1:18,Vendor A,"High-quality product 459, designed for performance and durability.",482,330.17,419.63
PRD00460,Product 460,Ships 970,1:24,Vendor B,"High-quality product 460, designed for performance and durability.",112,447.08,541.06
PRD00461,Product 461,Planes 635,1:50,Vendor C,"High-quality product 461, designed for performance and durability.",659,79.41,98.19
PRD00462,Product 462,Ships 94,1:18,Vendor A,"High-quality product 462, designed for performance and durability.",188,181.90,269.77
PRD00463,Product 463,Motorcycles 10,1:24,Vendor B,"High-quality product 463, designed for performance and durability.",142,493.52,715.33
PRD00464,Product 464,Trains 692,1:50,Vendor C,"High-quality product 464, designed for performance and durability.",552,270.86,398.35
PRD00465,Product 465,Trains 831,1:18,Vendor A,"High-quality product 465, designed for performance and durability.",368,468.08,608.05
PRD00466,Product 466,Ships 989,1:24,Vendor B,"High-quality product 466, designed for performance and durability.",393,227.76,294.12
PRD00467,Product 467,Ships 962,1:50,Vendor C,"High-quality product 467, designed for performance and durability.",936,545.82,743.21
PRD00468,Product 468,Ships 674,1:18,Vendor A,"High-quality product 468, designed for performance and durability.",974,537.84,770.07
PRD00469,Product 469,Ships 147,1:24,Vendor B,"High-quality product 469, designed for performance and durability.",296,666.49,800.36
PRD00470,Product 470,Planes 775,1:50,Vendor C,"High-quality product 470, designed for performance and durability.",478,781.45,1042.20
PRD00471,Product 471,Ships 623,1:18,Vendor A,"High-quality product 471, designed for performance and durability.",583,536.49,769.61
PRD00472,Product 472,Planes 470,1:24,Vendor B,"High-quality product 472, designed for performance and durability.",996,616.04,782.45
PRD00473,Product 473,Motorcycles 142,1:50,Vendor C,"High-quality product 473, designed for performance and durability.",996,988.37,1296.45
PRD00474,Product 474,Classic Cars 134,1:18,Vendor A,"High-quality product 474, designed for performance and durability.",54,620.86,796.42
PRD00475,Product 475,Motorcycles 99,1:24,Vendor B,"High-quality product 475, designed for performance and durability.",326,666.92,966.42
PRD00476,Product 476,Motorcycles 433,1:50,Vendor C,"High-quality product 476, designed for performance and durability.",141,954.69,1430.38
PRD00477,Product 477,Planes 327,1:18,Vendor A,"High-quality product 477, designed for performance and durability.",620,860.23,1085.82
PRD00478,Product 478,Classic Cars 793,1:24,Vendor B,"High-quality product 478, designed for performance and durability.",858,304.22,406.82
PRD00479,Product 479,Planes 473,1:50,Vendor C,"High-quality product 479, designed for performance and durability.",721,356.05,472.11
PRD00480,Product 480,Motorcycles 127,1:18,Vendor A,"High-quality product 480, designed for performance and durability.",309,140.20,207.05
PRD00481,Product 481,Planes 995,1:24,Vendor B,"High-quality product 481, designed for performance and durability.",272,647.23,794.17
PRD00482,Product 482,Motorcycles 439,1:50,Vendor C,"High-quality product 482, designed for performance and durability.",608,750.27,901.96
PRD00483,Product 483,Planes 539,1:18,Vendor A,"High-quality product 483, designed for performance and durability.",891,470.79,615.64
PRD00484,Product 484,Classic Cars 544,1:24,Vendor B,"High-quality product 484, designed for performance and durability.",826,645.38,877.64
